"city","sea"
"Härnösand (Västernorrland, Sweden)","Baltic Sea"
"Niigata (Niigata, Japan)","Sea of Japan"
"Paranaguá (Paraná, Brazil)","Atlantic Ocean"
"Kaohsiung (Taiwan)","South China Sea"
"Halifax (Nova Scotia, Canada)","Atlantic Ocean"
"Salé (Rabat Sale Zemmour Zaer, Morocco)","Atlantic Ocean"
"Quelimane (Zambézia, Mozambique)","Indian Ocean"
"Kitakyushu (Fukuoka, Japan)","Sea of Japan"
"Rize (Rize, Turkey)","Black Sea"
"Fort-de-France (Martinique)","Caribbean Sea"
"Dili (Timor-Leste)","Banda Sea"
"Benguela (Benguela, Angola)","Atlantic Ocean"
